PRODUCT_LINE_ID,GENDER,AGE,MARITAL_STATUS,PROFESSION
1,M,27,Single,Professional
1,F,39,Married,Other
2,F,39,Married,Other
1,F,56,Unspecified,Hospitality
3,M,45,Married,Retired
3,M,45,Married,Retired
4,F,39,Married,Other
4,F,49,Married,Other
5,F,49,Married,Other
3,M,47,Married,Retired
3,M,47,Married,Retired
2,M,21,Single,Retail
1,F,66,Married,Other
4,F,35,Married,Professional
2,M,20,Single,Sales
2,M,20,Single,Sales
2,M,20,Single,Sales
1,F,37,Single,Other
4,M,42,Married,Other
4,F,24,Married,Retail
1,F,24,Married,Retail
2,M,29,Single,Retail
4,M,29,Single,Retail
4,M,43,Married,Trades
4,M,43,Married,Trades
4,F,43,Unspecified,Hospitality
4,F,43,Unspecified,Hospitality
4,F,43,Unspecified,Hospitality
4,F,43,Unspecified,Hospitality
2,M,29,Single,Other
1,M,41,Married,Professional
4,M,32,Married,Other
4,M,34,Married,Sales
1,F,18,Single,Student
4,F,31,Married,Executive
4,M,28,Single,Trades
2,F,24,Single,Student
4,F,29,Single,Other
4,F,29,Single,Other
1,F,68,Unspecified,Hospitality
4,M,42,Married,Trades
4,M,42,Married,Trades
4,F,33,Married,Hospitality
4,F,33,Married,Hospitality
4,F,33,Married,Hospitality
3,F,54,Married,Other
3,F,54,Married,Other
3,F,54,Married,Other
3,M,38,Married,Executive
3,M,38,Married,Executive
3,M,38,Married,Executive
4,M,24,Single,Other
2,F,24,Unspecified,Other
2,F,24,Unspecified,Other
1,F,20,Single,Retail
4,F,20,Single,Retail
1,F,29,Single,Professional
4,M,40,Married,Other
1,F,49,Unspecified,Hospitality
4,F,26,Single,Other
1,F,51,Unspecified,Hospitality
2,M,29,Single,Professional
1,F,33,Married,Executive
3,M,47,Married,Professional
4,F,38,Married,Other
1,F,39,Married,Executive
2,M,29,Single,Professional
1,M,29,Single,Professional
4,F,33,Married,Executive
2,F,20,Single,Professional
2,M,31,Married,Other
1,F,31,Single,Other
2,F,42,Married,Other
4,F,42,Married,Other
1,F,42,Married,Other
4,M,21,Single,Trades
1,F,65,Married,Other
5,F,65,Married,Other
4,F,41,Unspecified,Hospitality
5,F,41,Unspecified,Hospitality
1,M,17,Single,Student
3,M,55,Married,Trades
3,M,55,Married,Trades
3,M,55,Married,Trades
3,M,55,Married,Trades
1,F,52,Married,Executive
4,M,35,Married,Trades
1,F,34,Single,Retail
4,M,25,Single,Other
4,M,25,Single,Other
4,M,25,Single,Other
1,F,18,Single,Retail
1,F,19,Single,Other
2,M,36,Single,Professional
1,M,33,Married,Professional
4,M,33,Married,Sales
1,F,30,Single,Professional
4,F,29,Single,Other
4,F,29,Single,Other
2,M,21,Single,Sales
5,M,21,Single,Sales
4,F,44,Married,Other
2,M,21,Single,Student
2,M,21,Single,Student
3,M,46,Married,Trades
1,F,47,Married,Sales
1,F,34,Single,Professional
1,F,24,Single,Professional
1,F,27,Single,Retail
1,F,28,Single,Professional
4,M,26,Married,Other
1,M,26,Married,Other
2,M,29,Single,Professional
2,M,29,Single,Professional
1,M,29,Single,Professional
1,F,23,Single,Professional
1,M,27,Single,Other
5,F,26,Married,Executive
1,F,26,Married,Executive
4,F,20,Single,Other
4,M,26,Single,Other
4,M,33,Married,Other
4,M,33,Married,Other
2,F,19,Single,Other
2,F,19,Single,Other
4,F,26,Married,Other
4,F,26,Married,Other
4,F,40,Married,Other
4,F,40,Married,Other
4,F,40,Married,Other
2,M,40,Single,Other
4,M,40,Single,Other
4,M,40,Single,Other
4,M,40,Single,Other
4,M,40,Single,Other
2,M,44,Single,Other
2,M,44,Single,Other
3,M,43,Married,Trades
3,M,43,Married,Trades
1,F,24,Single,Retail
3,M,28,Unspecified,Sales
2,F,22,Single,Professional
5,F,20,Married,Retail
1,F,46,Married,Retail
4,M,31,Unspecified,Sales
2,M,31,Unspecified,Sales
2,M,31,Unspecified,Sales
2,M,31,Unspecified,Sales
3,M,31,Unspecified,Sales
4,F,23,Single,Student
4,F,23,Single,Student
2,F,37,Married,Other
2,F,37,Married,Other
1,F,50,Married,Other
1,F,18,Single,Student
2,M,30,Single,Trades
1,F,67,Married,Other
1,M,30,Married,Other
3,M,24,Single,Professional
4,F,31,Married,Other
5,F,31,Married,Other
4,M,35,Married,Other
3,M,41,Married,Trades
3,M,41,Married,Trades
1,F,25,Single,Other
1,F,23,Single,Other
1,F,25,Single,Other
3,F,30,Married,Hospitality
4,M,49,Unspecified,Trades
4,M,39,Married,Other
4,F,34,Married,Other
4,F,34,Married,Other
4,M,28,Single,Student
4,F,42,Married,Other
1,F,27,Single,Other
4,M,25,Single,Professional
3,M,55,Married,Other
4,M,27,Married,Other
3,M,27,Married,Other
1,F,19,Single,Professional
3,M,50,Married,Professional
2,F,33,Married,Other
2,F,33,Married,Other
4,M,35,Married,Sales
4,M,26,Married,Sales
4,M,26,Married,Sales
2,F,31,Married,Retail
2,F,31,Married,Retail
4,M,42,Married,Sales
5,M,42,Married,Sales
4,F,40,Married,Other
5,F,40,Married,Other
1,F,21,Married,Other
2,F,19,Single,Other
4,F,43,Married,Other
2,F,43,Married,Other
4,F,31,Married,Other
5,F,31,Married,Other
4,F,49,Married,Executive
5,F,49,Married,Executive
3,M,43,Married,Trades
3,M,43,Married,Trades
4,F,29,Single,Hospitality
4,F,29,Single,Hospitality
4,F,24,Single,Retail
2,M,20,Single,Other
2,M,20,Single,Other
4,M,33,Married,Executive
2,M,19,Single,Other
1,M,27,Married,Other
4,M,27,Married,Executive
2,M,27,Married,Executive
2,M,27,Married,Executive
4,F,22,Single,Other
4,F,22,Single,Other
1,F,25,Single,Retail
4,F,39,Married,Other
1,F,28,Single,Other
4,F,20,Single,Student
4,F,46,Married,Other
4,F,46,Married,Other
2,M,22,Single,Other
4,F,40,Married,Other
4,F,27,Single,Other
1,F,57,Married,Retired
3,F,27,Single,Other
2,F,27,Single,Other
1,F,21,Single,Other
1,F,25,Married,Executive
4,M,35,Married,Other
4,M,39,Married,Executive
5,M,39,Married,Executive
4,F,33,Married,Hospitality
1,F,23,Single,Retail
4,F,44,Married,Other
4,M,31,Married,Sales
4,M,31,Married,Sales
1,F,23,Single,Retail
5,M,24,Single,Student
1,M,24,Single,Student
4,M,31,Single,Professional
4,M,31,Single,Professional
1,F,19,Single,Retail
4,M,33,Single,Other
4,M,33,Single,Other
1,M,41,Married,Other
4,F,25,Married,Other
4,F,25,Married,Other
3,M,43,Single,Other
1,M,43,Single,Other
4,M,43,Single,Other
4,M,19,Single,Other
4,M,19,Single,Other
4,M,28,Single,Sales
4,M,28,Single,Sales
4,M,27,Single,Sales
4,F,38,Married,Other
4,F,38,Married,Other
4,M,37,Married,Trades
2,F,34,Married,Other
1,F,34,Married,Other
4,F,46,Married,Executive
5,F,46,Married,Executive
4,M,41,Married,Other
1,M,41,Married,Other
4,M,44,Single,Professional
1,F,38,Single,Retail
4,F,31,Married,Hospitality
4,F,31,Married,Hospitality
4,F,27,Married,Retail
1,F,27,Married,Retail
1,F,45,Married,Other
5,M,24,Single,Student
1,M,24,Single,Student
2,M,39,Married,Other
2,M,39,Married,Other
